instance,tree,method,compress,time,orignodes,newnodes
miplib2017/istanbul-no-cutoff,RB,heuristic,18.767962014244656,20718.978441476822,8003,6501
miplib2017/istanbul-no-cutoff,RB,drop,0.0,0.29384946823120117,8003,8003
miplib2017/leo1,RB,heuristic,3.079692030796921,86399.90824079514,10001,9693
miplib2017/leo1,RB,drop,0.0,0.3304436206817627,10001,10001
miplib2017/leo2,RB,heuristic,1.839816018398155,86400.01865887642,10001,9817
miplib2017/leo2,RB,drop,0.0,0.4669077396392822,10001,10001
miplib2017/lotsize,RB,heuristic,11.398860113988595,86399.91091227531,10001,8861
miplib2017/lotsize,RB,drop,0.019998000199983323,0.4907515048980713,10001,9999
miplib2017/mad,RB,heuristic,99.9900009999,0.17705893516540527,10001,1
miplib2017/mad,RB,drop,99.9900009999,0.19177842140197754,10001,1
miplib2017/map10,RB,heuristic,0.38797284190106307,86400.50677323341,1031,1027
miplib2017/map10,RB,drop,0.0,0.04218769073486328,1031,1031
miplib2017/markshare2,RB,heuristic,99.9900009999,0.2644071578979492,10001,1
miplib2017/markshare2,RB,drop,99.9900009999,0.24557065963745117,10001,1
miplib2017/markshare_4_0,RB,heuristic,99.9900009999,0.4089994430541992,10001,1
miplib2017/markshare_4_0,RB,drop,99.9900009999,0.12276172637939453,10001,1
miplib2017/mas74,RB,heuristic,40.97590240975902,571.0710835456848,10001,5903
miplib2017/mas74,RB,drop,0.0,0.34969139099121094,10001,10001
miplib2017/mas76,RB,heuristic,42.315768423157685,483.0900454521179,10001,5769
miplib2017/mas76,RB,drop,0.0,0.46003127098083496,10001,10001
miplib2017/mc11,RB,heuristic,15.758424157584239,86399.91395688057,10001,8425
miplib2017/mc11,RB,drop,0.0,0.4760398864746094,10001,10001
miplib2017/mik-250-20-75-4,RB,heuristic,22.897710228977097,4348.5776953697205,10001,7711
miplib2017/mik-250-20-75-4,RB,drop,0.0,0.30489039421081543,10001,10001
miplib2017/milo-v12-6-r2-40-1,RB,heuristic,1.0998900109989052,86399.91546940804,10001,9891
miplib2017/milo-v12-6-r2-40-1,RB,drop,0.0,0.40904951095581055,10001,10001
miplib2017/momentum1,RB,drop,0.0,0.06214547157287598,29,29
miplib2017/mushroom-best,RB,heuristic,36.81631836816318,86400.02110099792,10001,6319
miplib2017/mushroom-best,RB,drop,0.5999400059993998,0.7478008270263672,10001,9941
miplib2017/mzzv11,RB,heuristic,0.6599340065993387,86400.01507687569,10001,9935
miplib2017/mzzv11,RB,drop,0.6599340065993387,0.29866480827331543,10001,9935
miplib2017/mzzv42z,RB,heuristic,0.37996200379961653,86400.01346969604,10001,9963
miplib2017/mzzv42z,RB,drop,0.0,0.46605896949768066,10001,10001
miplib2017/n2seq36q,RB,heuristic,99.9900009999,0.45434117317199707,10001,1
miplib2017/n2seq36q,RB,drop,99.9900009999,0.38617682456970215,10001,1
miplib2017/n3div36,RB,heuristic,30.836916308369165,86399.96811819077,10001,6917
miplib2017/n3div36,RB,drop,0.0,0.3833639621734619,10001,10001
miplib2017/n5-3,RB,heuristic,15.2984701529847,7803.300867557526,10001,8471
miplib2017/n5-3,RB,drop,0.019998000199983323,0.42226672172546387,10001,9999
miplib2017/neos-1122047,RB,heuristic,0.0,0.2836494445800781,1,1
miplib2017/neos-1122047,RB,drop,0.0,0.0013704299926757812,1,1
miplib2017/neos-1171448,RB,heuristic,0.0,0.46945786476135254,1,1
miplib2017/neos-1171448,RB,drop,0.0,0.002094745635986328,1,1
miplib2017/neos-1171737,RB,heuristic,0.0,0.2531864643096924,1,1
miplib2017/neos-1171737,RB,drop,0.0,0.00145721435546875,1,1
miplib2017/neos-1445765,RB,heuristic,25.11748825117488,86399.95189714432,10001,7489
miplib2017/neos-1445765,RB,drop,0.0,0.30986881256103516,10001,10001
miplib2017/neos-1456979,RB,heuristic,99.13008699130087,655.0306043624878,10001,87
miplib2017/neos-1456979,RB,drop,16.578342165783422,0.3049185276031494,10001,8343
miplib2017/neos-1582420,RB,heuristic,7.999200079991997,86399.96885251999,10001,9201
miplib2017/neos-1582420,RB,drop,0.019998000199983323,0.8892111778259277,10001,9999
miplib2017/neos-2978193-inde,RB,heuristic,99.9900009999,0.6322658061981201,10001,1
miplib2017/neos-2978193-inde,RB,drop,99.9900009999,0.12096190452575684,10001,1
miplib2017/neos-2987310-joes,RB,heuristic,66.66666666666667,8.557331562042236,9,3
miplib2017/neos-2987310-joes,RB,drop,0.0,0.0025696754455566406,9,9
miplib2017/neos-3004026-krka,RB,heuristic,0.0,0.26848840713500977,1,1
miplib2017/neos-3004026-krka,RB,drop,0.0,0.0009515285491943359,1,1
miplib2017/neos-3024952-loue,RB,heuristic,14.618538146185378,86399.942684412,10001,8539
miplib2017/neos-3024952-loue,RB,drop,4.799520047995198,0.765303373336792,10001,9521
miplib2017/neos-3083819-nubu,RB,heuristic,53.33466653334666,86399.93732738495,10001,4667
